ID,Providers_08_09,Providers_09_10,Providers_10_11,Providers_11_12,Providers_12_13,Providers_13_14,Providers_14_15,Providers_15_16,Providers_16_17,Providers_17_18,Providers_18_19,Providers_19_20,Providers_20_21,Providers_21_22
NT434,,BMI - The Saxon Clinic,BMI - THE SAXON CLINIC,BMI - THE SAXON CLINIC,BMI - The Saxon Clinic,BMI - The Saxon Clinic (NT434),BMI - The Saxon Clinic (NT434),BMI - The Saxon Clinic (NT434),BMI - The Saxon Clinic (NT434),BMI - The Saxon Clinic (NT434),BMI - The Saxon Clinic (NT434),BMI - The Saxon Clinic - (NT434),BMI - The Saxon Clinic,BMI - The Saxon Clinic
NT435,,BMI - The Shelburne Hospital,BMI - THE SHELBURNE HOSPITAL,BMI - THE SHELBURNE HOSPITAL,BMI - The Shelburne Hospital,BMI - The Shelburne Hospital (NT435),BMI - The Shelburne Hospital (NT435),BMI - The Shelburne Hospital (NT435),BMI - The Shelburne Hospital (NT435),BMI - The Shelburne Hospital (NT435),BMI - The Shelburne Hospital (NT435),BMI - The Shelburne Hospital - (NT435),BMI - The Shelburne Hospital,BMI - The Shelburne Hospital
NT436,,BMI - Shirley Oaks Hospital,BMI - SHIRLEY OAKS HOSPITAL,BMI - SHIRLEY OAKS HOSPITAL,BMI - Shirley Oaks Hospital,BMI - Shirley Oaks Hospital (NT436),BMI - Shirley Oaks Hospital (NT436),BMI - Shirley Oaks Hospital (NT436),BMI - Shirley Oaks Hospital (NT436),BMI - Shirley Oaks Hospital (NT436),BMI - Shirley Oaks Hospital (NT436),BMI - Shirley Oaks Hospital - (NT436),BMI - Shirley Oaks Hospital,BMI - Shirley Oaks Hospital
NT437,,BMI - The Sloane Hospital,BMI - THE SLOANE HOSPITAL,BMI - THE SLOANE HOSPITAL,BMI - The Sloane Hospital,BMI - The Sloane Hospital (NT437),BMI - The Sloane Hospital (NT437),BMI - The Sloane Hospital (NT437),BMI - The Sloane Hospital (NT437),BMI - The Sloane Hospital (NT437),BMI - The Sloane Hospital (NT437),BMI - The Sloane Hospital - (NT437),BMI - The Sloane Hospital,BMI - The Sloane Hospital
NT438,BMI - The Somerfield Hospital,BMI - The Somerfield Hospital,BMI - THE SOMERFIELD HOSPITAL,BMI - THE SOMERFIELD HOSPITAL,BMI - The Somerfield Hospital,BMI - The Somerfield Hospital (NT438),BMI - The Somerfield Hospital (NT438),BMI - The Somerfield Hospital (NT438),BMI - The Somerfield Hospital (NT438),BMI - The Somerfield Hospital (NT438),BMI - The Somerfield Hospital (NT438),,,
NT439,,,,BMI - THE SOUTH CHESHIRE PRIVATE HOSPITAL,BMI - The South Cheshire Private Hospital,BMI - The South Cheshire Private Hospital (NT439),BMI - The South Cheshire Private Hospital (NT439),BMI - The South Cheshire Private Hospital (NT439),BMI - The South Cheshire Private Hospital (NT439),BMI - The South Cheshire Private Hospital (NT439),BMI - The South Cheshire Private Hospital (NT439),BMI - The South Cheshire Private Hospital - (NT439),,
NT440,,BMI - Thornbury Hospital,BMI - THORNBURY HOSPITAL,BMI - THORNBURY HOSPITAL,BMI - Thornbury Hospital,BMI - Thornbury Hospital (NT440),BMI - Thornbury Hospital (NT440),BMI - Thornbury Hospital (NT440),BMI - Thornbury Hospital (NT440),BMI - Thornbury Hospital (NT440),BMI - Thornbury Hospital (NT440),BMI - Thornbury Hospital - (NT440),BMI - Thornbury Hospital,BMI - Thornbury Hospital
NT441,,BMI - Three Shires Hospital,BMI - THREE SHIRES HOSPITAL,BMI - THREE SHIRES HOSPITAL,BMI - Three Shires Hospital,BMI - Three Shires Hospital (NT441),BMI - Three Shires Hospital (NT441),BMI - Three Shires Hospital (NT441),BMI - Three Shires Hospital (NT441),BMI - Three Shires Hospital (NT441),BMI - Three Shires Hospital (NT441),BMI - Three Shires Hospital - (NT441),BMI - Three Shires Hospital,BMI - Three Shires Hospital
NT443,,BMI - The Winterbourne Hospital,BMI - THE WINTERBOURNE HOSPITAL,BMI - THE WINTERBOURNE HOSPITAL,BMI - The Winterbourne Hospital,BMI - The Winterbourne Hospital (NT443),BMI - The Winterbourne Hospital (NT443),BMI - The Winterbourne Hospital (NT443),BMI - The Winterbourne Hospital (NT443),BMI - The Winterbourne Hospital (NT443),BMI - The Winterbourne Hospital (NT443),BMI - The Winterbourne Hospital - (NT443),BMI - The Winterbourne Hospital,BMI - The Winterbourne Hospital
NT445,,BMI The Edgbaston Hospital,BMI THE EDGBASTON HOSPITAL,BMI THE EDGBASTON HOSPITAL,BMI - The Edgbaston Hospital,BMI The Edgbaston Hospital (NT445),BMI The Edgbaston Hospital (NT445),BMI The Edgbaston Hospital (NT445),BMI The Edgbaston Hospital (NT445),BMI - The Edgbaston Hospital (NT445),BMI The Edgbaston Hospital (NT445),BMI The Edgbaston Hospital - (NT445),BMI The Edgbaston Hospital,BMI - The Edgbaston Hospital
NT446,,,BMI ST EDMUNDS HOSPITAL,BMI ST EDMUNDS HOSPITAL,BMI - St Edmunds Hospital,BMI St Edmunds Hospital (NT446),BMI St Edmunds Hospital (NT446),BMI St Edmunds Hospital (NT446),BMI St Edmunds Hospital (NT446),BMI - St Edmunds Hospital (NT446),BMI St Edmunds Hospital (NT446),BMI St Edmunds Hospital - (NT446),BMI St Edmunds Hospital,BMI - St Edmunds Hospital
NT447,,BMI The Duchy Hospital,BMI THE DUCHY HOSPITAL,BMI THE DUCHY HOSPITAL,BMI - The Duchy Hospital,BMI The Duchy Hospital (NT447),BMI The Duchy Hospital (NT447),BMI The Duchy Hospital (NT447),BMI The Duchy Hospital (NT447),BMI - The Duchy Hospital (NT447),BMI The Duchy Hospital (NT447),BMI The Duchy Hospital - (NT447),BMI The Duchy Hospital,BMI - The Duchy Hospital
NT448,,BMI The Huddersfield Hospital,BMI THE HUDDERSFIELD HOSPITAL,BMI THE HUDDERSFIELD HOSPITAL,BMI - The Huddersfield Hospital,BMI The Huddersfield Hospital (NT448),BMI The Huddersfield Hospital (NT448),BMI The Huddersfield Hospital (NT448),BMI The Huddersfield Hospital (NT448),BMI - The Huddersfield Hospital (NT448),BMI The Huddersfield Hospital (NT448),BMI The Huddersfield Hospital - (NT448),BMI The Huddersfield Hospital,BMI - The Huddersfield Hospital
NT449,,,BMI THE LANCASTER HOSPITAL,BMI THE LANCASTER HOSPITAL,BMI - The Lancaster Hospital,BMI The Lancaster Hospital (NT449),BMI The Lancaster Hospital (NT449),BMI The Lancaster Hospital (NT449),BMI The Lancaster Hospital (NT449),BMI - The Lancaster Hospital (NT449),BMI The Lancaster Hospital (NT449),BMI The Lancaster Hospital - (NT449),BMI The Lancaster Hospital,BMI - The Lancaster Hospital
NT450,,BMI The Lincoln Hospital,BMI THE LINCOLN HOSPITAL,BMI THE LINCOLN HOSPITAL,BMI - The Lincoln Hospital,BMI The Lincoln Hospital (NT450),BMI The Lincoln Hospital (NT450),BMI The Lincoln Hospital (NT450),BMI The Lincoln Hospital (NT450),BMI - The Lincoln Hospital (NT450),BMI The Lincoln Hospital (NT450),BMI The Lincoln Hospital - (NT450),BMI The Lincoln Hospital,BMI - The Lincoln Hospital
NT451,,,BMI THE CAVELL HOSPITAL,BMI THE CAVELL HOSPITAL,BMI - The Cavell Hospital,BMI The Cavell Hospital (NT451),BMI The Cavell Hospital (NT451),BMI The Cavell Hospital (NT451),BMI The Cavell Hospital (NT451),BMI - The Cavell Hospital (NT451),BMI The Cavell Hospital (NT451),BMI The Cavell Hospital - (NT451),BMI The Cavell Hospital,BMI - The Cavell Hospital
NT455,,BMI Mount Alvernia Hospital,BMI MOUNT ALVERNIA HOSPITAL,BMI MOUNT ALVERNIA HOSPITAL,BMI - Mount Alvernia Hospital,BMI Mount Alvernia Hospital (NT455),BMI Mount Alvernia Hospital (NT455),BMI Mount Alvernia Hospital (NT455),BMI Mount Alvernia Hospital (NT455),BMI - Mount Alvernia Hospital (NT455),BMI Mount Alvernia Hospital (NT455),BMI Mount Alvernia Hospital - (NT455),BMI Mount Alvernia Hospital,BMI - Mount Alvernia Hospital
NT456,,,BMI THE CASTLE CONSULTING CENTRE,BMI THE CASTLE CONSULTING CENTRE,,,,,,,,,,
NT457,,BMI Woodlands Hospital,BMI WOODLANDS HOSPITAL,BMI WOODLANDS HOSPITAL,BMI - Woodlands Hospital,BMI Woodlands Hospital (NT457),BMI Woodlands Hospital (NT457),BMI Woodlands Hospital (NT457),BMI Woodlands Hospital (NT457),BMI - Woodlands Hospital (NT457),BMI Woodlands Hospital (NT457),BMI Woodlands Hospital - (NT457),BMI Woodlands Hospital,BMI - Woodlands Hospital
NT490,,,,BMI SOUTHEND PRIVATE HOSPITAL,BMI - Southend Private Hospital,BMI Southend Private Hospital (NT490),BMI Southend Private Hospital (NT490),BMI Southend Private Hospital (NT490),BMI Southend Private Hospital (NT490),BMI - Southend Private Hospital (NT490),BMI Southend Private Hospital (NT490),BMI Southend Private Hospital - (NT490),BMI Southend Private Hospital,BMI - Southend Private Hospital
NT495,,,,BMI FITZROY,BMI - Fitzroy,BMI Fitzroy Square (NT495),,,,,,,,
NT497,,,,BMI GISBURNE PARK HOSPITAL,BMI - Gisburne Park Hospital,BMI Gisburne Park Hospital (NT497),BMI Gisburne Park Hospital (NT497),BMI Gisburne Park Hospital (NT497),BMI Gisburne Park Hospital (NT497),BMI - Gisburne Park Hospital (NT497),BMI Gisburne Park Hospital (NT497),BMI Gisburne Park Hospital - (NT497),BMI Gisburne Park Hospital,
NT501,,,,,,,,,,,,,,
NT502,,,,,,,,,,,,,,
NT503,,,,,,,,,,,,,,
NT506,,,,,,,,,,,,,,
NT507,,,,,,,,,,,,,,
NT602,,,,,,,,,,,,,,
NT603,,,,,,,,,,,,,,
NT604,,,,,,,,,,,,,,
NT701,,,,,,,,,,,,,,
NT702,St Martin's Hospital,St Martin's Hospital,,,,,,,,,,,,
NT706,,,,,,,,,,,,,,
NT714,Greater Manchester Surgical Centre,Greater Manchester Surgical Centre,,,,,,,,,,,,
NT718,,,,,,,,,,,,,,
NT719,Rossendale Hospital,Rossendale Hospital,,,,,,,,,,,,
NT720,,,,,,,,,,,,,,
NT721,,,,,,,,,,,,,,
NT722,St Catherine's General Hospital,St Catherine's General Hospital,,,,,,,,,,,,
NT723,Halton District Hospital,Halton District Hospital,,,,,,,,,,,,
NT725,Macclesfield Leisure Centre,Macclesfield Leisure Centre,,,,,,,,,,,,
NT726,,,,,,,,,,,,,,
NTA01,Eccleshill NHS Treatment Centre,Eccleshill NHS Treatment Centre,,,,,,,,,,,,
NTA03,The Midlands NHS Treatment Centre,The Midlands NHS Treatment Centre,THE MIDLANDS NHS TREATMENT CENTRE,THE MIDLANDS NHS TREATMENT CENTRE,,,,,,,,,,
NTA04,Nottingham NHS Treatment Centre(Nations Healthcare),Nottingham NHS Treatment Centre(Nations Healthcare),NOTTINGHAM NHS TREATMENT CENTRE(NATIONS HEALTHCARE),NOTTINGHAM NHS TREATMENT CENTRE(NATIONS HEALTHCARE),Nottingham NHS Treatment Centre(Nations Healthcare),,,,,,,,,
NTC01,Shepton Mallet NHS Treatment Centre,Shepton Mallet NHS Treatment Centre,SHEPTON MALLET NHS TREATMENT CENTRE,SHEPTON MALLET NHS TREATMENT CENTRE,Shepton Mallet NHS Treatment Centre,Shepton Mallet NHS Treatment Centre (NTC01),Shepton Mallet NHS Treatment Centre (NTC01),Shepton Mallet NHS Treatment Centre (NTC01),,,,,,
NTC02,,Emersons Green NHS Treatment Centre,EMERSONS GREEN NHS TREATMENT CENTRE,EMERSONS GREEN NHS TREATMENT CENTRE,Emersons Green NHS Treatment Centre,Emersons Green NHS Treatment Centre (NTC02),Emersons Green NHS Treatment Centre (NTC02),Emersons Green NHS Treatment Centre (NTC02),,,,,,
NTC03,,Devizes NHS Treatment Centre,DEVIZES NHS TREATMENT CENTRE,DEVIZES NHS TREATMENT CENTRE,Devizes NHS Treatment Centre,Devizes NHS Treatment Centre (NTC03),,,,,,,,
NTC04,,Cirencester NHS Treatment Centre,CIRENCESTER NHS TREATMENT CENTRE,CIRENCESTER NHS TREATMENT CENTRE,Cirencester NHS Treatment Centre,Cirencester NHS Treatment Centre (NTC04),,,,,,,,
NTC05,,,PENINSULA NHS TREATMENT CENTRE,PENINSULA NHS TREATMENT CENTRE,Peninsula NHS Treatment Centre,Peninsula NHS Treatment Centre (NTC05),,,,,,,,
NTC09,,,,,,Gloucester Health Access Centre (NTC09),,,,,,,,
NTD01,Kidderminster NHS Treatment Centre,Kidderminster NHS Treatment Centre,,,,,,,,,,,,
NTD02,The Cheshire & Merseyside NHS Treatment Centre,The Cheshire & Merseyside NHS Treatment Centre,THE CHESHIRE & MERSEYSIDE NHS TREATMENT CENTRE,THE CHESHIRE & MERSEYSIDE NHS TREATMENT CENTRE,,,,,,,,,,
NTE02,,,,ST HUGH's HOSPITAL,,St Hugh's Hospital (NTE02),St Hugh's Hospital (NTE02),St Hugh's Hospital (NTE02),St Hugh's Hospital (NTE02),St Hugh's Hospital (NTE02),St Hugh's Hospital (NTE02),St Hugh's Hospital - (NTE02),St Hugh's Hospital,St Hugh's Hospital
NTE03,Claremont Hospital,Claremont Hospital,CLAREMONT HOSPITAL,CLAREMONT HOSPITAL,,,,,,,,,,
NTF01,,Abbey Gisburne Park Hospital,ABBEY GISBURNE PARK HOSPITAL,ABBEY GISBURNE PARK HOSPITAL,,,,,,,,,,
NTH01,,,,,,,,,,,,,,
NTH03,,,,,,,,,,,,,,
NTH04,Regency Hospital,Regency Hospital,,,,,,,,,,,,
NTH05,,,,,,,,,,,,,,
NTH06,,,,,,,,,,,,,,
NTH08,,,,,,,,,,,,,,
NTH09,,,,,,,,,,,,,,
NTH11,,,,,,,,,,,,,,
NTP11,,Southampton NHS Treatment Centre,SOUTHAMPTON NHS TREATMENT CENTRE,SOUTHAMPTON NHS TREATMENT CENTRE,Southampton NHS Treatment Centre,Southampton NHS Treatment Centre (NTP11),Southampton NHS Treatment Centre (NTP11),Southampton NHS Treatment Centre (NTP11),Southampton NHS Treatment Centre (NTP11),Southampton NHS Treatment Centre (NTP11),Southampton NHS Treatment Centre (NTP11),Southampton NHS Treatment Centre - (NTP11),,Practice Plus Group Hospital - Southampton
NTP13,,,BARLBOROUGH NHS TREATMENT CENTRE,BARLBOROUGH NHS TREATMENT CENTRE,Barlborough NHS Treatment Centre,Barlborough NHS Treatment Centre (NTP13),Barlborough NHS Treatment Centre (NTP13),Barlborough NHS Treatment Centre (NTP13),Barlborough NHS Treatment Centre (NTP13),Barlborough NHS Treatment Centre (NTP13),Barlborough NHS Treatment Centre (NTP13),Barlborough NHS Treatment Centre - (NTP13),,Practice Plus Group Hospital - Barlborough
NTP14,,Mid Kent NHS Treatment Centre,MID KENT NHS TREATMENT CENTRE,MID KENT NHS TREATMENT CENTRE,,,,,,,,,,
NTP15,,North East London NHS Treatment Centre,NORTH EAST LONDON TREATMENT CENTRE CARE UK,NORTH EAST LONDON TREATMENT CENTRE CARE UK,North East London Treatment Centre Care Uk,North East London Treatment Centre Care Uk (NTP15),North East London Treatment Centre Care Uk (NTP15),North East London Treatment Centre Care Uk (NTP15),North East London Treatment Centre Care Uk (NTP15),North East London Treatment Centre Care Uk (NTP15),North East London Treatment Centre Care Uk (NTP15),North East London Treatment Centre Care Uk - (NTP15),,Practice Plus Group Hospital - Ilford
NTP16,,,WILL ADAMS NHS TREATMENT CENTRE,WILL ADAMS NHS TREATMENT CENTRE,Will Adams NHS Treatment Centre,Will Adams NHS Treatment Centre (NTP16),Will Adams NHS Treatment Centre (NTP16),Will Adams NHS Treatment Centre (NTP16),Will Adams NHS Treatment Centre (NTP16),Will Adams NHS Treatment Centre (NTP16),Will Adams NHS Treatment Centre (NTP16),Will Adams NHS Treatment Centre - (NTP16),,Practice Plus Group Surgical Centre - Gillingham
NTP17,,,SUSSEX ORTHOPAEDIC NHS TREATMENT CENTRE,SUSSEX ORTHOPAEDIC NHS TREATMENT CENTRE,,,,,,,,,,
NTP23,,,ECCLESHILL NHS TREATMENT CENTRE,ECCLESHILL NHS TREATMENT CENTRE,Eccleshill NHS Treatment Centre,Eccleshill NHS Treatment Centre (NTP23),Eccleshill NHS Treatment Centre (NTP23),Eccleshill NHS Treatment Centre (NTP23),,,,,,
NTP35,,,,,The Phoenix Centre,The Phoenix Centre (NTP35),The Phoenix Centre (NTP35),The Phoenix Centre (NTP35),The Phoenix Centre (NTP35),The Phoenix Centre (NTP35),,,,
NTPAD,,,ST MARY's NHS TREATMENT CENTRE,ST MARY's NHS TREATMENT CENTRE,St Mary's NHS Treatment Centre,St Mary's NHS Treatment Centre (NTPAD),St Mary's NHS Treatment Centre (NTPAD),St Mary's NHS Treatment Centre (NTPAD),St Mary's NHS Treatment Centre (NTPAD),St Mary's NHS Treatment Centre (NTPAD),St Mary's NHS Treatment Centre (NTPAD),St Mary's NHS Treatment Centre - (NTPAD),,Practice Plus Group Surgical Centre - St Marys Portsmouth
NTPAE,,,,,The Croft Shifa Health Centre,The Croft Shifa Health Centre (NTPAE),The Croft Shifa Health Centre (NTPAE),The Croft Shifa Health Centre (NTPAE),The Croft Shifa Health Centre (NTPAE),The Croft Shifa Health Centre (NTPAE),The Croft Shifa Health Centre (NTPAE),The Croft Shifa Health Centre - (NTPAE),,Practice Plus Group Ophthalmology - North West
NTPAT,,,,,,,,,,,,,,
NTPC1,,Care Uk Head Office,,,,,,,,,,,,
NTPH1,,,,,,,Shepton Mallet NHS Treatment Centre (NTPH1),Shepton Mallet NHS Treatment Centre (NTPH1),Shepton Mallet NHS Treatment Centre (NTPH1),Shepton Mallet NHS Treatment Centre (NTPH1),Shepton Mallet NHS Treatment Centre (NTPH1),Shepton Mallet NHS Treatment Centre - (NTPH1),,Practice Plus Group Hospital - Shepton Mallet
NTPH2,,,,,,Emersons Green NHS Treatment Centre (NTPH2),Emersons Green NHS Treatment Centre (NTPH2),Emersons Green NHS Treatment Centre (NTPH2),Emersons Green NHS Treatment Centre (NTPH2),Emersons Green NHS Treatment Centre (NTPH2),Emersons Green NHS Treatment Centre (NTPH2),Emersons Green NHS Treatment Centre - (NTPH2),,Practice Plus Group Hospital - Emersons Green
NTPH3,,,,,,Devizes NHS Treatent Centre (NTPH3),Devizes NHS Treatment Centre (NTPH3),Devizes NHS Treatent Centre (NTPH3),Devizes NHS Treatent Centre (NTPH3),Devizes NHS Treatment Centre (NTPH3),Devizes NHS Treatment Centre (NTPH3),Devizes NHS Treatment Centre - (NTPH3),,Practice Plus Group Surgical Centre - Devizes
NTPH4,,,,,,Cirencester NHS Treatment Centre (NTPH4),Cirencester NHS Treatment Centre (NTPH4),Cirencester NHS Treatment Centre (NTPH4),Cirencester NHS Treatment Centre (NTPH4),Cirencester NHS Treatment Centre (NTPH4),,,,
NTPH5,,,,,,,Peninsula NHS Treatment Centre (NTPH5),Peninsula NHS Treatment Centre (NTPH5),Peninsula NHS Treatment Centre (NTPH5),Peninsula NHS Treatment Centre (NTPH5),Peninsula NHS Treatment Centre (NTPH5),Peninsula NHS Treatment Centre - (NTPH5),,Practice Plus Group Hospital - Plymouth
NTPH9,,,,,,Gloucester Health Access Centre (NTPH9),Gloucester Health Access Centre (NTPH9),Gloucester Health Access Centre (NTPH9),,,,,,
NTV01,,,,,,,,,,,,,,
NTV0O,,,,,,,,,,,Woking Community Hospital (NTV0O),Woking Community Hospital - (NTV0O),Woking Community Hospital,Woking Community Hospital
NTV0S,,,,,,,,,,,Walton Community Hospital (NTV0S),Walton Community Hospital - (NTV0S),Walton Community Hospital,Walton Community Hospital
NTX01,,,,ONE HEALTH GROUP LTD,One Health Group Ltd,One Health Group Ltd (NTX01),One Health Group Ltd (NTX01),One Health Group Ltd (NTX01),One Health Group Ltd (NTX01),One Health Group Ltd (NTX01),One Health Group Ltd (NTX01),One Health Group Ltd - (NTX01),One Health Group Ltd,One Health Group Ltd
NTX06,,,,,,,,,,One Health Group Clinic - Osset (NTX06),One Health Group Clinic - Osset (NTX06),One Health Group Clinic - Osset - (NTX06),One Health Group Clinic - Osset,One Health Group Clinic - Osset
NTX09,,,,,,,,,,One Health Group Clinic - Gainsborough (NTX09),One Health Group Clinic - Gainsborough (NTX09),One Health Group Clinic - Gainsborough - (NTX09),One Health Group Clinic - Gainsborough,
NTX0B,,,,,,,,,,,,,One Health Group - Kinvara Hospital,One Health Group - Kinvara Hospital
NTX0I,,,,,,,,,,,,,One Health Group - Trent Cliffs - Scunthorpe,One Health Group - Trent Cliffs - Scunthorpe
NTX0J,,,,,,,,,,,,,,One Health Group - Riverside Surgery - Brigg
NTX11,,,,,,,,,,One Health Group Clinic - Thornbury (NTX11),One Health Group Clinic - Thornbury (NTX11),One Health Group Clinic - Thornbury - (NTX11),One Health Group Clinic - Thornbury,One Health Group Clinic - Thornbury
NTX12,,,,,,,,,,One Health Group Clinic - Claremont (NTX12),One Health Group Clinic - Claremont (NTX12),One Health Group Clinic - Claremont - (NTX12),One Health Group Clinic - Claremont,
NTX19,,,,,,,,,,Huddersfield Hospital - The One Health Group (NTX19),Huddersfield Hospital - The One Health Group (NTX19),Huddersfield Hospital - The One Health Group - (NTX19),Huddersfield Hospital - The One Health Group,One Health Group - Huddersfield Hospital
NTX24,,,,,,,,,,,,One Health Group - Doncaster Clinic - (NTX24),One Health Group - Doncaster Clinic,One Health Group - Doncaster Clinic
NTX51,,,,,,,,,,,One Health Group - Barlborough Treatment Centre (NTX51),One Health Group - Barlborough Treatment Centre - (NTX51),One Health Group - Barlborough Treatment Centre,One Health Group - Barlborough Treatment Centre
NTY48,Tetbury Hospital,Tetbury Hospital,TETBURY HOSPITAL,TETBURY HOSPITAL,Tetbury Hospital,Tetbury Hospital (NTY48),,,,,,,,
NTY57,,,,,,,,,,,,,,
NTYE7,,,,,,,,,,,,,,
NTYF1,,,THE SPENCER WING,THE SPENCER WING,The Spencer Wing,,,,,,,,,
NTYH9,Tyneside Surgical Services Ltd,Tyneside Surgical Services Ltd,,,,,,,,,,,,
NV1J5,,,,,,,,,,,,,St Peter's Hospital,St Peter's Hospital
NV302,,,CIRCLE BATH,CIRCLE BATH,Circle Bath,Circle Bath (NV302),Circle Bath (NV302),Circle Bath (NV302),Circle Bath (NV302),Circle Bath Hospital (NV302),Circle Bath Hospital (NV302),Circle Bath Hospital - (NV302),Circle Bath Hospital,Circle Bath Hospital
NV313,,,,,Circle-Nottingham NHS Treatment Centre,Circle - Nottingham NHS Treatment Centre (NV313),Circle - Nottingham NHS Treatment Centre (NV313),Circle - Nottingham NHS Treatment Centre (NV313),Circle - Nottingham NHS Treatment Centre (NV313),Circle - Nottingham NHS Treatment Centre (NV313),Circle - Nottingham NHS Treatment Centre (NV313),Circle - Nottingham NHS Treatment Centre - (NV313),,
NV323,,,,,Circle Reading,Circle Reading (NV323),Circle Reading (NV323),Circle Reading (NV323),Circle Reading (NV323),Circle Reading Hospital (NV323),Circle Reading Hospital (NV323),Circle Reading Hospital - (NV323),Circle Reading Hospital,Circle Reading Hospital
NV7R1,,,,,,,,,,,,,Bupa Cromwell Hospital,
NVC01,Ashtead Hospital,Ashtead Hospital,ASHTEAD HOSPITAL,ASHTEAD HOSPITAL,Ashtead Hospital (Ramsey),Ashtead Hospital (NVC01),Ashtead Hospital (NVC01),Ashtead Hospital (NVC01),Ashtead Hospital (NVC01),Ashtead Hospital (NVC01),Ashtead Hospital (NVC01),Ashtead Hospital - (NVC01),Ashtead Hospital,Ramsay Healthcare - Ashtead Hospital
NVC02,The Berkshire Independent Hospital,The Berkshire Independent Hospital,THE BERKSHIRE INDEPENDENT HOSPITAL,THE BERKSHIRE INDEPENDENT HOSPITAL,The Berkshire Independent Hospital,The Berkshire Independent Hospital (NVC02),The Berkshire Independent Hospital (NVC02),The Berkshire Independent Hospital (NVC02),The Berkshire Independent Hospital (NVC02),The Berkshire Independent Hospital (NVC02),The Berkshire Independent Hospital (NVC02),The Berkshire Independent Hospital - (NVC02),The Berkshire Independent Hospital,Ramsay Healthcare - The Berkshire Independent Hospital
NVC04,Duchy Hospital,Duchy Hospital,DUCHY HOSPITAL,DUCHY HOSPITAL,Duchy Hospital,Duchy Hospital (NVC04),Duchy Hospital (NVC04),Duchy Hospital (NVC04),Duchy Hospital (NVC04),Duchy Hospital (NVC04),Duchy Hospital (NVC04),Duchy Hospital - (NVC04),Duchy Hospital,Ramsay Healthcare - Duchy Hospital
NVC05,Euxton Hall Hospital,Euxton Hall Hospital,EUXTON HALL HOSPITAL,EUXTON HALL HOSPITAL,Euxton Hall Hospital,Euxton Hall Hospital (NVC05),Euxton Hall Hospital (NVC05),Euxton Hall Hospital (NVC05),Euxton Hall Hospital (NVC05),Euxton Hall Hospital (NVC05),Euxton Hall Hospital (NVC05),Euxton Hall Hospital - (NVC05),Euxton Hall Hospital,Ramsay Healthcare - Euxton Hall Hospital
NVC06,Fitzwilliam Hospital,Fitzwilliam Hospital,FITZWILLIAM HOSPITAL,FITZWILLIAM HOSPITAL,Fitzwilliam Hospital,Fitzwilliam Hospital (NVC06),Fitzwilliam Hospital (NVC06),Fitzwilliam Hospital (NVC06),Fitzwilliam Hospital (NVC06),Fitzwilliam Hospital (NVC06),Fitzwilliam Hospital (NVC06),Fitzwilliam Hospital - (NVC06),Fitzwilliam Hospital,Ramsay Healthcare - Fitzwilliam Hospital
NVC07,Fulwood Hall Hospital,Fulwood Hall Hospital,FULWOOD HALL HOSPITAL,FULWOOD HALL HOSPITAL,Fulwood Hall Hospital,Fulwood Hall Hospital (NVC07),Fulwood Hall Hospital (NVC07),Fulwood Hall Hospital (NVC07),Fulwood Hall Hospital (NVC07),Fulwood Hall Hospital (NVC07),Fulwood Hall Hospital (NVC07),Fulwood Hall Hospital - (NVC07),Fulwood Hall Hospital,Ramsay Healthcare - Fulwood Hall Hospital
NVC08,Mount Stuart Hospital,Mount Stuart Hospital,MOUNT STUART HOSPITAL,MOUNT STUART HOSPITAL,Mount Stuart Hospital,Mount Stuart Hospital (NVC08),Mount Stuart Hospital (NVC08),Mount Stuart Hospital (NVC08),Mount Stuart Hospital (NVC08),Mount Stuart Hospital (NVC08),Mount Stuart Hospital (NVC08),Mount Stuart Hospital - (NVC08),Mount Stuart Hospital,Ramsay Healthcare - Mount Stuart Hospital
NVC09,,New Hall Hospital,NEW HALL HOSPITAL,NEW HALL HOSPITAL,New Hall Hospital,New Hall Hospital (NVC09),New Hall Hospital (NVC09),New Hall Hospital (NVC09),New Hall Hospital (NVC09),New Hall Hospital (NVC09),New Hall Hospital (NVC09),New Hall Hospital - (NVC09),New Hall Hospital,Ramsay Healthcare - New Hall Hospital
NVC0I,,,,,,,,,,,,,Beacon Park Hospital,Ramsay Healthcare - Beacon Park Hospital
NVC0M,,,,,,,,,,,Ramsay Croydon Day Hospital (NVC0M),West Valley Hospital - (NVC0M),West Valley Hospital,Ramsay Healthcare - West Valley Hospital
NVC0R,,,,,,,,,,,Tees Valley Hospital (NVC0R),Tees Valley Hospital - (NVC0R),Tees Valley Hospital,Ramsay Healthcare - Tees Valley Hospital
NVC0Y,,,,,,,,,,,,,Exeter Medical,Ramsay Healthcare - Exeter Medical
NVC10,,,,,,,,,,,,,,
NVC11,North Downs Hospital,North Downs Hospital,NORTH DOWNS HOSPITAL,NORTH DOWNS HOSPITAL,North Downs Hospital,North Downs Hospital (NVC11),North Downs Hospital (NVC11),North Downs Hospital (NVC11),North Downs Hospital (NVC11),North Downs Hospital (NVC11),North Downs Hospital (NVC11),North Downs Hospital - (NVC11),North Downs Hospital,Ramsay Healthcare - North Downs Hospital
