ID,Name,National Grouping,Higher Health Authority,Opened,Closed,Address
5QL,Primary Care Trust - SOMERSET PCT (5QL),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,WYNFORD HOUSE LUFTON WAY LUFTON YEOVIL SOMERSET BA22 8HR
5QM,Primary Care Trust - DORSET PCT (5QM),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,HILLFORT HOUSE POUNDBURY ROAD DORCHESTER DORSET DT1 2PN
5QN,Primary Care Trust - BOURNEMOUTH AND POOLE TEACHING PCT (5QN),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,CANFORD HOUSE DISCOVERY COURT BUSINESS CENTRE 551-553 WALLISDOWN ROAD POOLE DORSET BH12 5AG
5QP,Primary Care Trust - CORNWALL AND ISLES OF SCILLY PCT (5QP),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,SEDGEMOOR CENTRE PRIORY ROAD ST. AUSTELL CORNWALL PL25 5AS
5QQ,Primary Care Trust - DEVON PCT (5QQ),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,COUNTY HALL TOPSHAM ROAD EXETER DEVON EX2 4QJ
5QR,Primary Care Trust - REDCAR AND CLEVELAND PCT (5QR),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q30 NORTH EAST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,LANGBAURGH HOUSE BOW STREET GUISBOROUGH CLEVELAND TS14 7AA
5QT,Primary Care Trust - ISLE OF WIGHT NHS PCT (5QT),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,ST. MARYS HOSPITAL PARKHURST ROAD NEWPORT ISLE OF WIGHT PO30 5TG
8A101,Non-Nhs organisation - ST LUKE'S HOSPICE (SHEFFIELD) (8A101),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QF7 NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1/4/1996,N/A,LITTLE COMMON LANE SHEFFIELD SOUTH YORKSHIRE S11 9NE
8A718,Non-Nhs organisation - LONDON CLINIC (8A718),Y56 LONDON COMMISSIONING REGION,QRV NHS NORTH WEST LONDON INTEGRATED CARE BOARD,1/4/1996,N/A,20 DEVONSHIRE PLACE LONDON GREATER LONDON W1G 6BW
8E339,Non-Nhs organisation - WOODLANDS HOSPICE CHARITABLE TRUST (8E339),Y62 NORTH WEST COMMISSIONING REGION,QYG NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1/4/1996,N/A,UNIVERSITY HOSPITAL CAMPUS LONGMOOR LANE AINTREE LIVERPOOL MERSEYSIDE L9 7LA
8G301,Non-Nhs organisation - RYALLS ANN (COUNSELLOR) (8G301),Y59 SOUTH EAST COMMISSIONING REGION,QNX NHS SUSSEX INTEGRATED CARE BOARD,1/4/2000,N/A,5 ASHLEIGH ROAD HORSHAM WEST SUSSEX RH12 2LE
8HE28,Non-Nhs organisation - HARLEY STREET ON 15 (8HE28),Y56 LONDON COMMISSIONING REGION,QMJ NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,29/09/2006,N/A,PRIVATE PATIENTS WING 15TH FLOOR 235 EUSTON ROAD LONDON GREATER LONDON NW1 2BU
8HP32,Non-Nhs organisation - EASTERN SURGERY LTD (8HP32),Y61 EAST OF ENGLAND COMMISSIONING REGION,QJG NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,20/04/2010,N/A,NUFFIELD HOSPITAL FOXHALL ROAD IPSWICH SUFFOLK IP4 5SW
8J285,Non-Nhs organisation - SHAW HEALTHCARE (LEDBURY) LIMITED (8J285),Y60 MIDLANDS COMMISSIONING REGION,QGH NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,1/4/2013,N/A,LEDBURY COMM HEALTH & CARE CENTRE MARKET STREET LEDBURY HEREFORDSHIRE HR8 2AQ
A0C5S,Independent Sector H/c Provider Site - SPAMEDICA GLOUCESTER (A0C5S),Y58 SOUTH WEST COMMISSIONING REGION,QR1 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1/10/2020,N/A,"GROUND FLOOR, SUITE 2 SANCTUS HOUSE OLYMPUS BUSINESS PARK GLOUCESTER GL2 4DH"
A4M8P,Independent Sector H/c Provider Site - BUCKSHAW HOSPITAL (A4M8P),Y62 NORTH WEST COMMISSIONING REGION,QE1 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1/10/2020,N/A,MATRIX PARK EATON AVENUE BUCKSHAW VILLAGE CHORLEY LANCASHIRE PR7 7NA
AAH01,Independent Sector H/c Provider Site - TETBURY HOSPITAL TRUST (AAH01),Y58 SOUTH WEST COMMISSIONING REGION,QR1 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1/4/2013,N/A,MALMESBURY ROAD TETBURY GLOUCESTERSHIRE GL8 8XB
AAV02,Independent Sector H/c Provider Site - COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON) (AAV02),Y62 NORTH WEST COMMISSIONING REGION,QE1 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1/4/2013,N/A,6 FULWOOD PARK CAXTON ROAD FULWOOD PRESTON LANCASHIRE PR2 9NZ
ACG05,Independent Sector H/c Provider Site - NEWMEDICA COMMUNITY OPHTHALMOLOGY - SWINDON - SWINDON (TAW HILL MEDICAL CENTRE) (ACG05),Y58 SOUTH WEST COMMISSIONING REGION,"QOX NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",1/4/2014,9/3/2022,TAW HILL MEDICAL PRACTICE AIKEN ROAD SWINDON WILTSHIRE SN25 1UH
ACG06,Independent Sector H/c Provider Site - NEWMEDICA COMMUNITY OPHTHALMOLOGY - SWINDON - TETBURY (ACG06),Y58 SOUTH WEST COMMISSIONING REGION,QR1 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1/4/2014,9/3/2022,TETBURY HOSPITAL MALMESBURY ROAD TETBURY GLOUCESTERSHIRE GL8 8XB
ACG07,Independent Sector H/c Provider Site - NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL) (ACG07),Y60 MIDLANDS COMMISSIONING REGION,"QK1 NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1/10/2014,N/A,STONEYGATE EYE HOSPITAL 376 LONDON ROAD LEICESTER LEICESTERSHIRE LE2 2PN
ACG08,Independent Sector H/c Provider Site - NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE (ACG08),Y60 MIDLANDS COMMISSIONING REGION,QWU NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1/10/2014,N/A,RAMSDEN AVENUE NUNEATON WARWICKSHIRE CV10 9EB
ACG09,Independent Sector H/c Provider Site - NEWMEDICA - BARLBOROUGH (ACG09),Y60 MIDLANDS COMMISSIONING REGION,QJ2 NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1/4/2016,N/A,UNIT 1B-1C MIDLAND PLACE BARLBOROUGH LINKS CHESTERFIELD S43 4FR
ACG10,Independent Sector H/c Provider Site - NEWMEDICA COMMUNITY OPHTHALMOLOGY - BRISTOL - BRISTOL (ACG10),Y58 SOUTH WEST COMMISSIONING REGION,"QUY NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1/10/2016,9/3/2022,2 CLIFTON PARK BRISTOL AVON BS8 3BS
ACG12,Independent Sector H/c Provider Site - NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY (ACG12),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QOQ NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1/10/2016,N/A,CROMWELL PRIMARY CARE CENTRE CROMWELL ROAD GRIMSBY SOUTH HUMBERSIDE DN31 2BH
ACG13,Independent Sector H/c Provider Site - NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE) (ACG13),Y58 SOUTH WEST COMMISSIONING REGION,QR1 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1/4/2017,N/A,ASPEN CENTRE HORTON ROAD GLOUCESTER GLOUCESTERSHIRE GL1 3PX
ACG19,Independent Sector H/c Provider Site - NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS (ACG19),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QWO NHS WEST YORKSHIRE INTEGRATED CARE BOARD,1/10/2017,N/A,ST MARTINS HOUSE MEDICAL CENTRE 210-212 CHAPELTOWN ROAD LEEDS WEST YORKSHIRE LS7 4HZ
ACG20,Independent Sector H/c Provider Site - NEWMEDICA - BRISTOL - LITFIELD HOUSE (ACG20),Y58 SOUTH WEST COMMISSIONING REGION,"QUY NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1/4/2018,N/A,LITFIELD HOUSE MEDICAL CENTRE 1 LITFIELD PLACE CLIFTON DOWN BRISTOL AVON BS8 3LS
ACG22,Independent Sector H/c Provider Site - NEWMEDICA - BRIGG - RIVERSIDE SURGERY (ACG22),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QOQ NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1/4/2018,N/A,RIVERSIDE SURGERY BARNARD AVENUE BRIGG SOUTH HUMBERSIDE DN20 8AS
ACG24,Independent Sector H/c Provider Site - NEWMEDICA - TEESSIDE - NORTH ORMESBY (ACG24),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QHM NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,1/10/2018,N/A,30 MARKET PLACE NORTH ORMESBY MIDDLESBROUGH NORTH YORKSHIRE TS3 6HR
ACG30,Independent Sector H/c Provider Site - NEWMEDICA - WORKSOP - DUKERIES (ACG30),Y60 MIDLANDS COMMISSIONING REGION,QT1 NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1/4/2019,N/A,THE DUKERIES BUSINESS CENTRE 31-33 RETFORD ROAD WORKSOP S80 2PU
ACG36,Independent Sector H/c Provider Site - NEWMEDICA - EXETER - GLEN HOUSE (ACG36),Y58 SOUTH WEST COMMISSIONING REGION,QJK NHS DEVON INTEGRATED CARE BOARD,1/10/2019,N/A,GLEN HOUSE SIGFORD ROAD MARSH BARTON TRADING ESTATE EXETER EX2 8NL
ACG37,Independent Sector H/c Provider Site - NEWMEDICA - IPSWICH (ACG37),Y61 EAST OF ENGLAND COMMISSIONING REGION,QJG NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1/4/2020,N/A,HADLEIGH ROAD IPSWICH IP2 0EE
ACG38,Independent Sector H/c Provider Site - NEWMEDICA - LANGFORD (ACG38),Y58 SOUTH WEST COMMISSIONING REGION,"QUY NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1/4/2020,N/A,MENDIP VALE MEDICAL PRACTICE PUDDING PIE LANE LANGFORD BRISTOL BS40 5EL
ACG40,Independent Sector H/c Provider Site - NEWMEDICA - WAKEFIELD (ACG40),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QWO NHS WEST YORKSHIRE INTEGRATED CARE BOARD,1/4/2020,N/A,106 BARNSLEY ROAD WAKEFIELD WF1 5NX
ACG41,Independent Sector H/c Provider Site - NEWMEDICA - FROME (ACG41),Y58 SOUTH WEST COMMISSIONING REGION,QSL NHS SOMERSET INTEGRATED CARE BOARD,1/4/2020,N/A,FROME MEDICAL CENTRE ENOS WAY FROME BA11 2FH
ADP02,Independent Sector H/c Provider Site - KIMS HOSPITAL (NEWNHAM COURT) (ADP02),Y59 SOUTH EAST COMMISSIONING REGION,QKS NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1/10/2013,N/A,NEWNHAM COURT WAY WEAVERING MAIDSTONE KENT ME14 5FT
AHH01,Independent Sector H/c Provider Site - FOSCOTE COURT (BANBURY) TRUST (AHH01),Y59 SOUTH EAST COMMISSIONING REGION,"QU9 NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1/4/2014,N/A,FOSCOTE HOSPITAL 2 FOSCOTE RISE BANBURY OXFORDSHIRE OX16 9XP
AHR01,Independent Sector H/c Provider Site - KING EDWARD VII'S HOSPITAL (AHR01),Y56 LONDON COMMISSIONING REGION,QRV NHS NORTH WEST LONDON INTEGRATED CARE BOARD,1/4/2014,N/A,5-10 BEAUMONT STREET LONDON W1G 6AA
AJX01,Independent Sector H/c Provider Site - SUSSEX MSK PARTNERSHIP 2 LTD (AJX01),Y59 SOUTH EAST COMMISSIONING REGION,QNX NHS SUSSEX INTEGRATED CARE BOARD,1/10/2014,N/A,THE HORDER CENTRE ST. JOHNS ROAD CROWBOROUGH TN6 1XP
ARH01,Independent Sector H/c Provider Site - ARTHUR RANK HOSPICE (ARH01),Y55 MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,Q79 NHS ENGLAND EAST OF ENGLAND (EAST),14/05/2015,31/03/2017,CHERRY HINTON ROAD SHELFORD BOTTOM CAMBRIDGE CAMBRIDGESHIRE CB22 3FB
AVQ01,Independent Sector H/c Provider Site - ONE ASHFORD HOSPITAL (AVQ01),Y59 SOUTH EAST COMMISSIONING REGION,QKS NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1/10/2015,N/A,KENNINGTON ROAD WILLESBOROUGH ASHFORD KENT TN24 0YS
AVQ03,Independent Sector H/c Provider Site - ONE HATFIELD HOSPITAL (AVQ03),Y61 EAST OF ENGLAND COMMISSIONING REGION,QM7 NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1/10/2017,N/A,3 HATFIELD AVENUE HATFIELD HERTFORDSHIRE AL10 9UA
AXG01,Independent Sector H/c Provider Site - WILTSHIRE HEALTH & CARE (CHIPPENHAM) (AXG01),Y58 SOUTH WEST COMMISSIONING REGION,"QOX NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",1/4/2016,N/A,CHIPPENHAM COMMUNITY HOSPITAL ROWDEN HILL CHIPPENHAM WILTSHIRE SN15 2AJ
AXG02,Independent Sector H/c Provider Site - SAVERNAKE COMMUNITY HOSPITAL (AXG02),Y58 SOUTH WEST COMMISSIONING REGION,"QOX NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",1/4/2016,N/A,SAVERNAKE HOSPITAL MARLBOROUGH WILTSHIRE SN8 3HL
AXG03,Independent Sector H/c Provider Site - WARMINSTER COMMUNITY HOSPITAL (AXG03),Y58 SOUTH WEST COMMISSIONING REGION,"QOX NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",1/4/2016,N/A,THE AVENUE WARMINSTER WILTSHIRE BA12 8QS
B3M1X,Independent Sector H/c Provider Site - CLAREMONT PRIVATE HOSPITAL (B3M1X),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QF7 NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1/10/2021,N/A,401 SANDYGATE ROAD SHEFFIELD S10 5UB
B4N1U,Independent Sector H/c Provider Site - SPAMEDICA ROMFORD (B4N1U),Y56 LONDON COMMISSIONING REGION,QMF NHS NORTH EAST LONDON INTEGRATED CARE BOARD,1/4/2021,N/A,GROUND FLOOR 210 SOUTH ROMFORD ESSEX ROMFORD RM1 1TR
B5M7B,Independent Sector H/c Provider Site - NEWMEDICA - NORWICH (B5M7B),Y61 EAST OF ENGLAND COMMISSIONING REGION,QMM NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1/4/2021,N/A,LAKESIDE 200 OLD CHAPEL WAY BROADLAND BUSINESS PARK NORWICH NR7 0WG
B9J4U,Independent Sector H/c Provider Site - SPAMEDICA PETERBOROUGH (B9J4U),Y61 EAST OF ENGLAND COMMISSIONING REGION,QUE NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,1/4/2021,N/A,ASHURST SOUTHGATE PARK BAKEWELL ROAD PETERBOROUGH PE2 6YS
B9M3W,Independent Sector H/c Provider Site - SPAMEDICA SOUTHAMPTON (B9M3W),Y59 SOUTH EAST COMMISSIONING REGION,QRL NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1/10/2020,N/A,STONEHAM PLACE STONEHAM LANE EASTLEIGH SO50 9NW
DLY01,Independent Sector H/c Provider Site - SCHOEN CLINIC LONDON (WIGMORE STREET) (DLY01),Y56 LONDON COMMISSIONING REGION,QRV NHS NORTH WEST LONDON INTEGRATED CARE BOARD,1/10/2017,N/A,66 WIGMORE STREET LONDON GREATER LONDON W1U 2SA
DM801,Independent Sector H/c Provider Site - WEYMOUTH STREET HOSPITAL (DM801),Y56 LONDON COMMISSIONING REGION,QRV NHS NORTH WEST LONDON INTEGRATED CARE BOARD,1/10/2017,N/A,42-46 WEYMOUTH STREET LONDON GREATER LONDON W1G 6NP
DX101,Independent Sector H/c Provider Site - THE NEW FOSCOTE HOSPITAL (FOSCOTE HOSPITAL) (DX101),Y59 SOUTH EAST COMMISSIONING REGION,"QU9 NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1/10/2018,N/A,2 FOSCOTE RISE BANBURY OX16 9XP
E4K5T,Independent Sector H/c Provider Site - OPTEGRA EYE HOSPITAL NEWCASTLE (E4K5T),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QHM NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,1/4/2021,N/A,THE AXIS BUILDING MAINGATE TEAM VALLEY GATESHEAD NE11 0NQ
G3O5P,Independent Sector H/c Provider Site - SPAMEDICA NEWARK (G3O5P),Y60 MIDLANDS COMMISSIONING REGION,QT1 NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1/4/2021,N/A,LOXLEY HOUSE BALDERTON GATE NEWARK NG24 1UN
G3Z1Q,Independent Sector H/c Provider Site - SULIS HOSPITAL BATH (FOXCOTE AVENUE) (G3Z1Q),Y58 SOUTH WEST COMMISSIONING REGION,"QOX NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",1/4/2021,N/A,FOXCOTE AVENUE BATH BUSINESS PARK PEASEDOWN ST. JOHN BATH BA2 8SF
I9A4A,Independent Sector H/c Provider Site - SPAMEDICA BRIGHTON (I9A4A),Y59 SOUTH EAST COMMISSIONING REGION,QNX NHS SUSSEX INTEGRATED CARE BOARD,1/10/2020,N/A,KING BUSINESS CENTRE REEDS LANE SAYERS COMMON HASSOCKS BN6 9LS
L0D9W,Independent Sector H/c Provider Site - NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT) (L0D9W),Y58 SOUTH WEST COMMISSIONING REGION,QR1 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1/10/2020,N/A,BRIGHOUSE COURT BARNETT WAY BARNWOOD GLOUCESTER GL4 3RT
L6O7H,Independent Sector H/c Provider Site - SPAMEDICA POOLE (L6O7H),Y58 SOUTH WEST COMMISSIONING REGION,QVV NHS DORSET INTEGRATED CARE BOARD,1/10/2020,N/A,FORELLE HOUSE MARSHES END POOLE BH17 7AG
L9D3Z,Independent Sector H/c Provider Site - SPAMEDICA LEICESTER (L9D3Z),Y60 MIDLANDS COMMISSIONING REGION,"QK1 NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1/4/2021,N/A,GATEWAY HOUSE 4 PENMAN WAY GROVE PARK LEICESTER LEICESTERSHIRE LE19 1SY
M0N7E,Independent Sector H/c Provider Site - SPAMEDICA SITTINGBOURNE (M0N7E),Y59 SOUTH EAST COMMISSIONING REGION,QKS NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1/4/2021,N/A,GROUND FLOOR NORTH WING DENNE COURT SITTINGBOURNE KENT ME9 8LT
M3R0W,Independent Sector H/c Provider Site - SPAMEDICA NORWICH (M3R0W),Y61 EAST OF ENGLAND COMMISSIONING REGION,QMM NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1/4/2021,N/A,DISCOVERY HOUSE 4 NORWICH BUSINESS PARK WHITING ROAD NORWICH NORFOLK NR4 6DJ
M4C5R,Independent Sector H/c Provider Site - NEWMEDICA - NORTHAMPTON (M4C5R),Y60 MIDLANDS COMMISSIONING REGION,QPM NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,1/10/2021,N/A,"UNIT 2, WESTBURY COURT ANGLIA WAY MOULTON PARK INDUSTRIAL ESTATE NORTHAMPTON NORTHAMPTONSHIRE NN3 6JA"
M5E1S,Independent Sector H/c Provider Site - SPAMEDICA EXETER (M5E1S),Y58 SOUTH WEST COMMISSIONING REGION,QJK NHS DEVON INTEGRATED CARE BOARD,1/4/2021,N/A,LANCASTER HOUSE EXETER INTERNATIONAL OFFICE PARK EXETER AIRPORT EXETER DEVON EX5 2HL
M7C9Q,Independent Sector H/c Provider Site - SPAMEDICA EPSOM (M7C9Q),Y59 SOUTH EAST COMMISSIONING REGION,QXU NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1/4/2021,N/A,FIRST FLOOR NEW PLAN HOUSE EAST STREET EPSOM KT17 1BL
NAM01,Independent Sector H/c Provider Site - PROBUS SURGICAL CENTRE (NAM01),Y58 SOUTH WEST COMMISSIONING REGION,QT6 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1/4/2011,N/A,TREGONY ROAD PROBUS TRURO CORNWALL TR2 4JZ
NAM02,Independent Sector H/c Provider Site - MENEAGE STREET SURGERY (NAM02),Y58 SOUTH WEST COMMISSIONING REGION,QT6 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1/10/2011,N/A,100 MENEAGE STREET HELSTON CORNWALL TR13 8RF
NAM03,Independent Sector H/c Provider Site - STRATTON MEDICAL CENTRE (NAM03),Y58 SOUTH WEST COMMISSIONING REGION,QT6 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1/10/2011,N/A,HOSPITAL ROAD STRATTON BUDE CORNWALL EX23 9BP
NAM04,Independent Sector H/c Provider Site - LISKEARD COMMUNITY HOSPITAL (NAM04),Y58 SOUTH WEST COMMISSIONING REGION,QT6 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1/4/2012,N/A,CLEMO ROAD LISKEARD CORNWALL PL14 3XD
NAM06,Independent Sector H/c Provider Site - MORRAB SURGERY (NAM06),Y58 SOUTH WEST COMMISSIONING REGION,QT6 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1/4/2013,N/A,2 MORRAB ROAD PENZANCE CORNWALL TR18 4EL
NAM07,Independent Sector H/c Provider Site - OAK TREE SURGERY (NAM07),Y58 SOUTH WEST COMMISSIONING REGION,QT6 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1/4/2014,N/A,CLEMO ROAD LISKEARD CORNWALL PL14 3XA
NAM09,Independent Sector H/c Provider Site - STRATTON COMMUNITY HOSPITAL (NAM09),Y58 SOUTH WEST COMMISSIONING REGION,QT6 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1/10/2015,N/A,HOSPITAL ROAD STRATTON BUDE CORNWALL EX23 9BR
NAX03,Independent Sector H/c Provider Site - ECCH BECCLES HOSPITAL (NAX03),Y61 EAST OF ENGLAND COMMISSIONING REGION,QMM NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1/10/2011,N/A,ST. MARYS ROAD BECCLES SUFFOLK NR34 9NQ
NCR01,Independent Sector H/c Provider Site - ISIGHT (SOUTHPORT) (NCR01),Y62 NORTH WEST COMMISSIONING REGION,QYG NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1/10/2011,N/A,DRAYTON HOUSE 2 LULWORTH ROAD SOUTHPORT MERSEYSIDE PR8 2AT
NDA01,Independent Sector H/c Provider Site - HCRG CARE SERVICES LTD (BROOK GREEN) (NDA01),Y59 SOUTH EAST COMMISSIONING REGION,QXU NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1/10/2011,N/A,BOURNEWOOD HOUSE GUILDFORD ROAD CHERTSEY SURREY KT16 0QA
NDA03,Independent Sector H/c Provider Site - HASLEMERE AND DISTRICT HOSPITAL OPD (NDA03),Y59 SOUTH EAST COMMISSIONING REGION,QXU NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1/10/2011,N/A,CHURCH LANE HASLEMERE SURREY GU27 2BJ
NDA07,Independent Sector H/c Provider Site - WALTON COMMUNITY HOSPITAL (NDA07),Y59 SOUTH EAST COMMISSIONING REGION,QXU NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1/10/2011,N/A,RODNEY ROAD WALTON-ON-THAMES SURREY KT12 3LD
NDA18,Independent Sector H/c Provider Site - WOKING COMMUNITY HOSPITAL (NDA18),Y59 SOUTH EAST COMMISSIONING REGION,QXU NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1/10/2011,N/A,HEATHSIDE ROAD WOKING SURREY GU22 7HS
NDA25,Independent Sector H/c Provider Site - FARNHAM HOSPITAL & CENTRE FOR HEALTH (NDA25),Y59 SOUTH EAST COMMISSIONING REGION,QNQ NHS FRIMLEY INTEGRATED CARE BOARD,1/10/2011,N/A,HALE ROAD FARNHAM SURREY GU9 9QS
NDA26,Independent Sector H/c Provider Site - MILFORD SPECIALIST REHABILITATION HOSPITAL (NDA26),Y59 SOUTH EAST COMMISSIONING REGION,QXU NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1/10/2011,N/A,TUESLEY LANE GODALMING SURREY GU7 1UF
NDAH9,Independent Sector H/c Provider Site - GRAVESHAM COMMUNITY HOSPITAL (NDAH9),Y59 SOUTH EAST COMMISSIONING REGION,QKS NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1/4/2016,N/A,BATH STREET GRAVESEND DA11 0DG
NDAJ0,Independent Sector H/c Provider Site - LIVINGSTONE COMMUNITY HOSPITAL (NDAJ0),Y59 SOUTH EAST COMMISSIONING REGION,QKS NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1/4/2016,N/A,EAST HILL DARTFORD KENT DA1 1SA
NDAJ1,Independent Sector H/c Provider Site - SHEPPEY COMMUNITY HOSPITAL (NDAJ1),Y59 SOUTH EAST COMMISSIONING REGION,QKS NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1/4/2016,N/A,PLOVER ROAD MINSTER ON SEA SHEERNESS KENT ME12 3LT
