ID,Name,National Grouping,Higher Health Authority,Opened,Closed,Address
5QL,Primary Care Trust - SOMERSET PCT (5QL),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,WYNFORD HOUSE LUFTON WAY LUFTON YEOVIL SOMERSET BA22 8HR
5QM,Primary Care Trust - DORSET PCT (5QM),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,HILLFORT HOUSE POUNDBURY ROAD DORCHESTER DORSET DT1 2PN
5QN,Primary Care Trust - BOURNEMOUTH AND POOLE TEACHING PCT (5QN),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,CANFORD HOUSE DISCOVERY COURT BUSINESS CENTRE 551-553 WALLISDOWN ROAD POOLE DORSET BH12 5AG
5QP,Primary Care Trust - CORNWALL AND ISLES OF SCILLY PCT (5QP),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,SEDGEMOOR CENTRE PRIORY ROAD ST. AUSTELL CORNWALL PL25 5AS
5QQ,Primary Care Trust - DEVON PCT (5QQ),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,COUNTY HALL TOPSHAM ROAD EXETER DEVON EX2 4QJ
5QR,Primary Care Trust - REDCAR AND CLEVELAND PCT (5QR),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q30 NORTH EAST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,LANGBAURGH HOUSE BOW STREET GUISBOROUGH CLEVELAND TS14 7AA
5QT,Primary Care Trust - ISLE OF WIGHT NHS PCT (5QT),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,ST. MARYS HOSPITAL PARKHURST ROAD NEWPORT ISLE OF WIGHT PO30 5TG
8A101,Non-Nhs organisation - ST LUKE'S HOSPICE (SHEFFIELD) (8A101),Y63 NORTH EAST AND YORKSHIRE COMMISSIONING REGION,QF7 NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1/4/1996,N/A,LITTLE COMMON LANE SHEFFIELD SOUTH YORKSHIRE S11 9NE
8A718,Non-Nhs organisation - LONDON CLINIC (8A718),Y56 LONDON COMMISSIONING REGION,QRV NHS NORTH WEST LONDON INTEGRATED CARE BOARD,1/4/1996,N/A,20 DEVONSHIRE PLACE LONDON GREATER LONDON W1G 6BW
8E339,Non-Nhs organisation - WOODLANDS HOSPICE CHARITABLE TRUST (8E339),Y62 NORTH WEST COMMISSIONING REGION,QYG NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1/4/1996,N/A,UNIVERSITY HOSPITAL CAMPUS LONGMOOR LANE AINTREE LIVERPOOL MERSEYSIDE L9 7LA
8G301,Non-Nhs organisation - RYALLS ANN (COUNSELLOR) (8G301),Y59 SOUTH EAST COMMISSIONING REGION,QNX NHS SUSSEX INTEGRATED CARE BOARD,1/4/2000,N/A,5 ASHLEIGH ROAD HORSHAM WEST SUSSEX RH12 2LE
8HE28,Non-Nhs organisation - HARLEY STREET ON 15 (8HE28),Y56 LONDON COMMISSIONING REGION,QMJ NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,29/09/2006,N/A,PRIVATE PATIENTS WING 15TH FLOOR 235 EUSTON ROAD LONDON GREATER LONDON NW1 2BU
8HP32,Non-Nhs organisation - EASTERN SURGERY LTD (8HP32),Y61 EAST OF ENGLAND COMMISSIONING REGION,QJG NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,20/04/2010,N/A,NUFFIELD HOSPITAL FOXHALL ROAD IPSWICH SUFFOLK IP4 5SW
8J285,Non-Nhs organisation - SHAW HEALTHCARE (LEDBURY) LIMITED (8J285),Y60 MIDLANDS COMMISSIONING REGION,QGH NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,1/4/2013,N/A,LEDBURY COMM HEALTH & CARE CENTRE MARKET STREET LEDBURY HEREFORDSHIRE HR8 2AQ
A0C5S,Independent Sector H/c Provider Site - SPAMEDICA GLOUCESTER (A0C5S),Y58 SOUTH WEST COMMISSIONING REGION,QR1 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1/10/2020,N/A,"GROUND FLOOR, SUITE 2 SANCTUS HOUSE OLYMPUS BUSINESS PARK GLOUCESTER GL2 4DH"
A4M8P,Independent Sector H/c Provider Site - BUCKSHAW HOSPITAL (A4M8P),Y62 NORTH WEST COMMISSIONING REGION,QE1 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1/10/2020,N/A,MATRIX PARK EATON AVENUE BUCKSHAW VILLAGE CHORLEY LANCASHIRE PR7 7NA
AAH01,Independent Sector H/c Provider Site - TETBURY HOSPITAL TRUST (AAH01),Y58 SOUTH WEST COMMISSIONING REGION,QR1 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1/4/2013,N/A,MALMESBURY ROAD TETBURY GLOUCESTERSHIRE GL8 8XB
AAV02,Independent Sector H/c Provider Site - COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON) (AAV02),Y62 NORTH WEST COMMISSIONING REGION,QE1 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1/4/2013,N/A,6 FULWOOD PARK CAXTON ROAD FULWOOD PRESTON LANCASHIRE PR2 9NZ
